depth,vsv_avg,vsh_avg
1000.0,3619.06740245,4263.32789144
2000.0,3634.76797469,4270.91525909
3000.0,3637.87835167,4269.64063861
4000.0,3641.21022751,4268.2918892
5000.0,3644.82914329,4266.94659523
6000.0,3648.73509806,4265.60475461
7000.0,3652.92809385,4264.26637161
8000.0,3657.40812959,4262.93144407
9000.0,3662.17520525,4261.59997056
10000.0,3667.22932094,4260.27195396
11000.0,3672.57047657,4258.94739281
12000.0,3678.19867214,4257.62628711
13000.0,3684.11390796,4256.30863615
14000.0,3690.31618343,4254.99444137
15000.0,3696.80549885,4253.68370204
16000.0,3703.58185431,4252.37641804
17000.0,3710.64524961,4251.07258962
18000.0,3717.99568485,4249.77221664
19000.0,3725.63316003,4248.47529911
20000.0,3733.55767469,4247.18183739
21000.0,3741.76922974,4245.89183073
22000.0,3750.2678462,4244.60528091
23000.0,3759.05347797,4243.32218586
24000.0,3768.12615153,4242.04254624
25000.0,3777.48586623,4240.76636132
26000.0,3787.13262085,4239.49363184
27000.0,3797.06642687,4238.22436107
28000.0,3807.28726138,4236.95854217
29000.0,3817.79514663,4235.69618005
30000.0,3828.59004492,4234.43727044
31000.0,3839.6719971,4233.18181878
32000.0,3851.04099266,4231.92982157
33000.0,3862.69702675,4230.68127969
34000.0,3874.64009897,4229.43619503
35000.0,3886.8702133,4228.19456403
36000.0,3899.38737009,4226.95638936
37000.0,3912.19156448,4225.72166936
38000.0,3925.28279476,4224.49040492
39000.0,3938.66107203,4223.2625965
40000.0,3951.87054163,4221.99550915
41000.0,3962.88671082,4220.98273917
42000.0,3973.75967995,4219.99416706
43000.0,3984.50329875,4219.03745869
44000.0,3995.11756958,4218.11261227
45000.0,4005.60249245,4217.2196278
46000.0,4015.95806735,4216.35850528
47000.0,4026.18429429,4215.52924472
48000.0,4036.28117327,4214.73184611
49000.0,4046.24870435,4213.96630949
50000.0,4056.0868874,4213.23263478
51000.0,4065.79572248,4212.53082204
52000.0,4075.37520961,4211.86087125
53000.0,4084.82534877,4211.22278241
54000.0,4094.14613997,4210.61655553
55000.0,4103.33758322,4210.04219061
56000.0,4112.3996785,4209.49968764
57000.0,4121.33242582,4208.98904664
58000.0,4130.13582519,4208.51026759
59000.0,4138.8098766,4208.06335049
60000.0,4147.35458008,4207.64829522
61000.0,4155.76993559,4207.26510205
62000.0,4164.05594314,4206.91377084
63000.0,4172.21260273,4206.59430158
64000.0,4180.23991437,4206.30669429
65000.0,4188.13788181,4206.0509503
66000.0,4195.90649729,4205.82706698
67000.0,4203.54576749,4205.63504654
68000.0,4211.05568563,4205.47488759
69000.0,4218.43625662,4205.34659017
70000.0,4225.68748077,4205.25015449
71000.0,4232.80935642,4205.18558103
72000.0,4239.80188413,4205.15286954
73000.0,4246.66506388,4205.15202002
74000.0,4253.39889569,4205.18303247
75000.0,4260.00337955,4205.24590689
76000.0,4266.47851545,4205.34064328
77000.0,4272.82430341,4205.46724164
78000.0,4279.04074342,4205.62570197
79000.0,4285.12784143,4205.81602298
80000.0,4291.08558537,4206.03820738
81000.0,4293.08157547,4206.60094906
82000.0,4295.12006628,4207.14310032
83000.0,4297.20105152,4207.66465844
84000.0,4299.32453121,4208.16562343
85000.0,4301.49050534,4208.64599529
86000.0,4303.6989739,4209.10577402
87000.0,4305.94993691,4209.54495962
88000.0,4308.24339435,4209.96355208
89000.0,4310.57934623,4210.36155141
90000.0,4312.95779256,4210.73895761
91000.0,4315.37873332,4211.09577068
92000.0,4317.84216852,4211.43199061
93000.0,4320.34809816,4211.74761741
94000.0,4322.89652224,4212.04265108
95000.0,4325.48744076,4212.31709162
96000.0,4328.12085372,4212.57093903
97000.0,4330.79676112,4212.8041933
98000.0,4333.51516296,4213.01685445
99000.0,4336.27605924,4213.20892246
100000.0,4339.07944996,4213.38039734
101000.0,4341.92533511,4213.53127908
102000.0,4344.81371471,4213.6615677
103000.0,4347.74458875,4213.77126318
104000.0,4350.71795722,4213.86036553
105000.0,4353.73382014,4213.92887475
106000.0,4356.79217749,4213.97679083
107000.0,4359.89302929,4214.00411378
108000.0,4363.03637552,4214.01084361
109000.0,4366.22221619,4213.9969803
110000.0,4369.4505513,4213.96252385
111000.0,4372.72138086,4213.90747428
112000.0,4376.03470485,4213.83183157
113000.0,4379.39052328,4213.73559573
114000.0,4382.78883615,4213.61876676
115000.0,4386.22964346,4213.48134466
116000.0,4389.7129452,4213.32332942
117000.0,4393.23874139,4213.14472106
118000.0,4396.80703202,4212.94551956
119000.0,4400.41781709,4212.72572493
120000.0,4404.07109659,4212.48533716
121000.0,4407.76687054,4212.22435627
122000.0,4411.50513893,4211.94278224
123000.0,4415.28590175,4211.64061508
124000.0,4419.10915902,4211.31785479
125000.0,4422.97491072,4210.97450137
126000.0,4426.88315686,4210.61055481
127000.0,4430.83389745,4210.22601512
128000.0,4434.82713247,4209.8208823
129000.0,4438.86286193,4209.39515635
130000.0,4442.94108586,4208.94883726
131000.0,4443.91358346,4209.20146575
132000.0,4444.90333816,4209.46894672
133000.0,4445.91035026,4209.75128011
134000.0,4446.93461975,4210.04846592
135000.0,4447.97614663,4210.36050414
136000.0,4449.03493089,4210.68739478
137000.0,4450.11097255,4211.02913784
138000.0,4451.2042716,4211.38573332
139000.0,4452.31482804,4211.75718121
140000.0,4453.44264186,4212.14348152
141000.0,4454.58771308,4212.54463425
142000.0,4455.75004169,4212.96063939
143000.0,4456.92962768,4213.39149695
144000.0,4458.12647107,4213.83720693
145000.0,4459.34057185,4214.29776932
146000.0,4460.57193001,4214.77318414
147000.0,4461.82054557,4215.26345137
148000.0,4463.08641852,4215.76857101
149000.0,4464.36954885,4216.28854308
150000.0,4465.66993658,4216.82336756
151000.0,4466.9875817,4217.37304446
152000.0,4468.3224842,4217.93757378
153000.0,4469.6746441,4218.51695551
154000.0,4471.04406138,4219.11118966
155000.0,4472.43073606,4219.72027623
156000.0,4473.83466813,4220.34421521
157000.0,4475.25585758,4220.98300661
158000.0,4476.69430443,4221.63665043
