depth,vsv_avg,vsh_avg
1000.0,3542.54835793,4125.92561193
2000.0,3559.18111835,4131.87952701
3000.0,3575.10586865,4134.16162772
4000.0,3579.06802633,4132.10449414
5000.0,3583.22996897,4130.06376659
6000.0,3587.59169656,4128.03944508
7000.0,3592.15320912,4126.0315296
8000.0,3596.91450662,4124.04002015
9000.0,3601.87558909,4122.06491674
10000.0,3607.03645652,4120.10621936
11000.0,3612.3971089,4118.16392802
12000.0,3617.95754624,4116.23804271
13000.0,3623.71776854,4114.32856344
14000.0,3629.6777758,4112.4354902
15000.0,3635.83756802,4110.558823
16000.0,3642.1971452,4108.69856183
17000.0,3648.75650733,4106.8547067
18000.0,3655.51565443,4105.02725761
19000.0,3662.47458649,4103.21621455
20000.0,3669.63330351,4101.42157753
21000.0,3676.99180549,4099.64334655
22000.0,3684.55009244,4097.8815216
23000.0,3692.30816434,4096.13610269
24000.0,3700.26602121,4094.40708982
25000.0,3708.42366304,4092.69448299
26000.0,3716.78108983,4090.9982822
27000.0,3725.33830158,4089.31848744
28000.0,3734.0952983,4087.65509873
29000.0,3743.05207998,4086.00811605
30000.0,3752.20864663,4084.37753941
31000.0,3761.56499824,4082.76336881
32000.0,3771.12113481,4081.16560425
33000.0,3780.87705635,4079.58424574
34000.0,3790.83276286,4078.01929326
35000.0,3800.98825433,4076.47074682
36000.0,3811.34353077,4074.93860642
37000.0,3821.89859217,4073.42287207
38000.0,3832.65343854,4071.92354375
39000.0,3843.60806987,4070.44062148
40000.0,3854.61237856,4068.94618051
41000.0,3865.09503954,4067.1237687
42000.0,3875.05994547,4065.06794343
43000.0,3884.93404423,4062.99978756
44000.0,3894.7674785,4060.94440538
45000.0,3904.56024829,4058.90179691
46000.0,3914.3123536,4056.87196214
47000.0,3924.02379442,4054.85490107
48000.0,3933.69457076,4052.8506137
49000.0,3943.32468262,4050.85910004
50000.0,3952.91412999,4048.88036008
51000.0,3962.46291287,4046.91439382
52000.0,3971.97103127,4044.96120126
53000.0,3981.43848519,4043.02078241
54000.0,3990.86527462,4041.09313726
55000.0,4000.25139956,4039.17826582
56000.0,4009.59686002,4037.27616808
57000.0,4018.90165599,4035.38684405
58000.0,4028.16578747,4033.51029373
59000.0,4037.38925447,4031.64651711
60000.0,4046.57205698,4029.7955142
61000.0,4055.714195,4027.95728499
62000.0,4064.81566854,4026.1318295
63000.0,4073.87647759,4024.31914771
64000.0,4082.89662215,4022.51923963
65000.0,4091.87610222,4020.73210526
66000.0,4100.8149178,4018.9577446
67000.0,4109.7130689,4017.19615765
68000.0,4118.57055551,4015.44734441
69000.0,4127.38737762,4013.71130488
70000.0,4136.16353525,4011.98803906
71000.0,4144.89902839,4010.27754695
72000.0,4153.59385704,4008.57982855
73000.0,4162.2480212,4006.89488387
74000.0,4170.86152086,4005.2227129
75000.0,4179.43435604,4003.56331564
76000.0,4187.96652673,4001.9166921
77000.0,4196.45803292,4000.28284227
78000.0,4204.90887463,3998.66176616
79000.0,4213.31905184,3997.05346376
80000.0,4221.68856456,3995.45793507
81000.0,4220.49047396,3997.45304874
82000.0,4219.40795288,3999.48440247
83000.0,4218.44100227,4001.5519959
84000.0,4217.58962214,4003.65582904
