depth,vsv_avg,vsh_avg
1000.0,3585.611921,4203.253182
2000.0,3600.606094,4208.077322
3000.0,3608.79159423,4206.86400562
4000.0,3612.41552248,4205.18701368
5000.0,3616.28605951,4203.51947808
6000.0,3620.4032048,4201.86139767
7000.0,3624.76695945,4200.21277478
8000.0,3629.37732288,4198.57360822
9000.0,3634.23429508,4196.94389723
10000.0,3639.33787611,4195.32364337
11000.0,3644.68806591,4193.71284584
12000.0,3650.28486448,4192.11150464
13000.0,3656.128272,4190.5196194
14000.0,3662.21828815,4188.9371909
15000.0,3668.55491308,4187.36421872
16000.0,3675.13814683,4185.80070282
17000.0,3681.96798931,4184.24664332
18000.0,3689.04444057,4182.70204016
19000.0,3696.36750061,4181.16689333
20000.0,3703.93716918,4179.64120304
21000.0,3711.75344677,4178.12496887
22000.0,3719.81634466,4176.61819178
23000.0,3728.12583811,4175.12087067
24000.0,3736.68194134,4173.63300588
25000.0,3745.48465398,4172.15459703
26000.0,3754.53397539,4170.68564451
27000.0,3763.82991174,4169.22615008
28000.0,3773.37245071,4167.77611006
29000.0,3783.16160427,4166.3355271
30000.0,3793.19735216,4164.9043989
31000.0,3803.47971633,4163.48272838
32000.0,3814.00869112,4162.07051365
33000.0,3824.78427393,4160.66775521
34000.0,3835.80646455,4159.27445405
35000.0,3847.07526512,4157.89060827
36000.0,3858.59067581,4156.5162193
37000.0,3870.35269404,4155.15128625
38000.0,3882.36131887,4153.7958096
39000.0,3894.61655627,4152.4497896
40000.0,3906.80422495,4151.07735386
41000.0,3917.57318353,4149.6894218
42000.0,3928.02538527,4148.20631877
43000.0,3938.36609634,4146.73460124
44000.0,3948.61855253,4145.28590077
45000.0,3958.78275384,4143.86021737
46000.0,3968.85870026,4142.45755104
47000.0,3978.84639181,4141.07790178
48000.0,3988.74582848,4139.72126958
49000.0,3998.5570103,4138.38765448
50000.0,4008.2799372,4137.07705643
51000.0,4017.91460923,4135.78947545
52000.0,4027.46102637,4134.52491154
53000.0,4036.91918864,4133.2833647
54000.0,4046.28909602,4132.06483493
55000.0,4055.57074853,4130.86932223
56000.0,4064.76414615,4129.69682661
57000.0,4073.8692889,4128.54734806
58000.0,4082.88617677,4127.42088659
59000.0,4091.81480976,4126.31744219
60000.0,4100.65518788,4125.23701479
61000.0,4109.40731112,4124.17960454
62000.0,4118.07117949,4123.14521136
63000.0,4126.64679297,4122.13383526
64000.0,4135.13415157,4121.14547624
65000.0,4143.53325731,4120.18013501
66000.0,4151.84410603,4119.23781016
67000.0,4160.0667013,4118.31850289
68000.0,4168.2010395,4117.42221244
69000.0,4176.24712324,4116.54893884
70000.0,4184.2049527,4115.69868219
71000.0,4192.074527,4114.87144277
72000.0,4199.85584642,4114.06722042
73000.0,4207.54891097,4113.28601516
74000.0,4215.15372064,4112.52782698
75000.0,4222.67027543,4111.79265589
76000.0,4230.09857535,4111.08050188
77000.0,4237.43862039,4110.39136495
78000.0,4244.69041056,4109.72524511
79000.0,4251.85394904,4109.08214165
80000.0,4258.92922936,4108.46205605
81000.0,4259.4451848,4109.68851302
82000.0,4260.0374987,4110.92071299
83000.0,4260.70616812,4112.15865434
84000.0,4261.45119308,4113.40233708
85000.0,4262.27257357,4114.6517612
86000.0,4263.1703096,4115.9069267
87000.0,4264.14440116,4117.16783359
88000.0,4265.19484825,4118.43448186
89000.0,4266.32165088,4119.70687152
90000.0,4267.52480904,4120.98500256
91000.0,4268.80432273,4122.26887498
92000.0,4270.16019196,4123.55848879
93000.0,4271.59241672,4124.85384398
94000.0,4273.10099702,4126.15494056
95000.0,4274.68593285,4127.46177852
96000.0,4276.34722421,4128.77435786
97000.0,4278.0848711,4130.09267859
98000.0,4279.89887353,4131.4167407
99000.0,4281.7892315,4132.74654419
100000.0,4283.75594499,4134.08208907
101000.0,4285.79901402,4135.42337533
102000.0,4287.91843859,4136.77040298
103000.0,4290.11421868,4138.12317201
104000.0,4292.38635431,4139.48168243
105000.0,4294.73484548,4140.84593422
106000.0,4297.15969218,4142.21592741
107000.0,4299.66089441,4143.59166197
108000.0,4302.23845217,4144.97313792
109000.0,4304.89236547,4146.36035526
110000.0,4307.62263431,4147.75331397
111000.0,4310.42925867,4149.15201407
112000.0,4313.31223857,4150.55645556
113000.0,4316.271574,4151.96663843
114000.0,4319.30726497,4153.38256268
115000.0,4322.41931147,4154.80422832
116000.0,4325.60771351,4156.23163534
117000.0,4328.87247107,4157.66478374
118000.0,4332.21358417,4159.10367353
119000.0,4335.63105281,4160.54830471
120000.0,4339.12487698,4161.99867726
121000.0,4342.69505668,4163.4547912
122000.0,4346.34159192,4164.91664653
123000.0,4350.06448268,4166.38424324
124000.0,4353.86372899,4167.85758133
125000.0,4357.73933082,4169.3366608
126000.0,4361.69128819,4170.82148166
127000.0,4365.7196011,4172.31204391
128000.0,4369.82426953,4173.80834753
129000.0,4374.00529351,4175.31039255
130000.0,4378.26267304,4176.81817894
131000.0,4379.22014817,4178.42754587
132000.0,4380.18889672,4180.04346522
133000.0,4381.16891899,4181.66593699
134000.0,4382.16021499,4183.29496118
135000.0,4383.16278472,4184.93053778
136000.0,4384.17662817,4186.57266681
