date time lat lon depth mag dist baz cordeg phase phi delta err_phi_min err_phi_max err_dt_min err_dt_max confidence_level SplitInt SplitInt_err_min SplitInt_err_max category
01-Sep-2020 04:30:02 -28.040000 -71.290000 16.530000 6.300000 156.880000 163.200000 -11.181019 PKIKS 19.000000 4.000000 -Inf Inf 0.000000 Inf 3502721.452589 -3.257659 -5.612321 -0.902997 poor
01-Sep-2020 04:09:28 -27.970000 -71.300000 23.000000 6.800000 156.940000 163.100000 -11.181019 SKKS 163.100000 0.000000 0.000000 0.000000 0.000000 0.000000 201941.123535 -0.243738 -0.590256 0.102780 null-measurement
15-Aug-2020 06:40:37 -22.760000 -112.310000 10.000000 5.800000 130.400000 114.900000 -11.181019 PKS 69.000000 0.717949 47.000000 90.000000 0.410256 1.128205 74848.274425 0.763577 0.610904 0.916251 good
23-Jun-2020 15:29:04 15.880000 -96.010000 20.000000 7.400000 141.290000 54.900000 -11.181019 PKS 54.900000 0.000000 0.000000 0.000000 0.000000 0.000000 194355.764174 -0.308199 -0.589840 -0.026557 null-measurement
31-Mar-2020 23:52:31 44.460000 -115.140000 14.530000 6.800000 111.690000 36.900000 -11.181019 SKS 82.000000 1.025641 50.000000 115.000000 0.307692 2.051282 8174.670425 -0.754196 -0.988137 -0.520255 average
31-Mar-2020 23:52:31 44.460000 -115.140000 14.530000 6.800000 111.690000 36.900000 -11.181019 SKKS 36.900000 0.000000 0.000000 0.000000 0.000000 0.000000 79245.205516 -0.648735 -1.070123 -0.227347 null-measurement
25-Dec-2019 03:36:01 50.610000 -129.970000 6.380000 6.300000 99.990000 36.200000 -11.181019 SKS 36.200000 0.000000 0.000000 0.000000 0.000000 0.000000 211475.802448 -0.502969 -0.815036 -0.190902 null-measurement
29-Sep-2019 15:57:53 -35.480000 -73.160000 11.000000 6.700000 149.330000 165.100000 -11.181019 SKKS 80.000000 2.564103 -Inf Inf 0.000000 Inf 331062.126862 -0.058267 -0.483819 0.367284 poor
27-Aug-2019 23:55:19 -60.220000 -26.580000 16.000000 6.600000 119.000000 200.100000 -11.181019 SKS 78.000000 1.230769 40.000000 101.000000 0.307692 2.974359 145486.672503 -0.810851 -1.077174 -0.544527 average
01-Aug-2019 18:28:07 -34.240000 -72.310000 25.000000 6.800000 150.730000 165.600000 -11.181019 SKKS 68.000000 1.743590 -Inf Inf 0.000000 Inf 206689.406123 -0.177490 -0.376558 0.021579 poor
04-Jul-2019 04:30:44 51.220000 -130.510000 10.000000 6.200000 99.440000 35.700000 -11.181019 SKS 35.700000 0.000000 0.000000 0.000000 0.000000 0.000000 77338.287208 -0.206635 -0.337285 -0.075985 null-measurement
14-Jun-2019 00:19:12 -30.060000 -72.080000 11.000000 6.400000 154.750000 163.200000 -11.181019 SKKS -37.000000 4.000000 -Inf Inf 0.000000 Inf 2905168.147498 -0.000423 -0.866798 0.865951 poor
12-May-2019 19:24:50 8.620000 -82.830000 19.000000 6.000000 156.010000 52.000000 -11.181019 SKKS 52.000000 0.000000 0.000000 0.000000 0.000000 0.000000 203644.582580 -0.245219 -0.475857 -0.014580 null-measurement
09-Apr-2019 17:53:59 -58.610000 -25.260000 44.830000 6.500000 119.680000 201.900000 -11.181019 SKS 81.000000 1.641026 -Inf Inf 0.000000 Inf 318616.803648 -1.108510 -1.604815 -0.612205 average
31-Mar-2019 07:04:04 -1.940000 -80.810000 18.000000 6.200000 162.530000 76.700000 -11.181019 SKKS 76.700000 0.000000 0.000000 0.000000 0.000000 0.000000 46601.939569 0.042235 -0.111868 0.196339 null-measurement
01-Mar-2019 08:50:42 -14.700000 -70.140000 267.000000 7.000000 169.330000 146.000000 -11.181019 SKKS -48.000000 4.000000 -Inf Inf 0.000000 Inf 1359825.552132 0.435749 -0.273974 1.145471 poor
20-Jan-2019 01:32:51 -30.070000 -71.420000 54.820000 6.700000 154.920000 164.500000 -11.181019 SKKS -31.000000 1.128205 -Inf Inf 0.000000 Inf 205073.921337 0.317211 0.044971 0.589450 poor
05-Jan-2019 19:25:38 -8.150000 -71.580000 571.180000 6.800000 171.980000 106.700000 -11.181019 PKIKS 87.000000 2.666667 -Inf Inf 0.000000 Inf 321324.884789 0.257367 0.094592 0.420143 poor
05-Jan-2019 19:25:38 -8.150000 -71.580000 571.180000 6.800000 171.980000 106.700000 -11.181019 SKKS 57.000000 0.717949 22.000000 -81.000000 0.102564 2.153846 171989.278928 0.681528 0.482020 0.881037 good
11-Dec-2018 02:26:32 -58.600000 -26.470000 164.660000 7.100000 120.130000 201.400000 -11.181019 SKS 70.000000 1.435897 36.000000 99.000000 0.512821 2.769231 144608.191489 -1.589410 -1.865227 -1.313592 good
11-Dec-2018 02:26:32 -58.600000 -26.470000 164.660000 7.100000 120.130000 201.400000 -11.181019 SKKS 62.000000 1.641026 45.000000 79.000000 0.923077 2.358974 170172.803799 -1.352348 -1.723944 -0.980752 good
09-Nov-2018 01:49:40 71.630000 -11.250000 10.000000 6.700000 95.210000 345.400000 -11.181019 SKS -20.000000 4.000000 -Inf Inf 0.000000 Inf 82865.115575 -0.213936 -0.434885 0.007013 poor
25-Oct-2018 22:54:52 37.510000 20.560000 14.000000 6.800000 90.780000 307.800000 -11.181019 SKS 106.000000 0.717949 49.000000 124.000000 0.102564 2.769231 13558.142708 0.529690 0.409283 0.650097 average
24-Aug-2018 09:04:06 -11.040000 -70.820000 609.480000 7.100000 171.440000 127.900000 -11.181019 PKIKS 115.000000 2.871795 -Inf Inf 0.000000 Inf 489005.467047 -0.221119 -0.451347 0.009109 poor
24-Aug-2018 09:04:06 -11.040000 -70.820000 609.480000 7.100000 171.440000 127.900000 -11.181019 SKKS 70.000000 1.025641 -Inf Inf 0.000000 Inf 289057.546206 0.832209 0.434081 1.230337 good
21-Aug-2018 21:31:47 10.780000 -62.910000 146.180000 7.300000 163.150000 357.100000 -11.181019 SKKS 31.000000 0.717949 14.000000 56.000000 0.307692 1.128205 45412.676606 -0.721705 -0.849723 -0.593687 average
09-Feb-2018 14:05:48 18.930000 -104.650000 12.000000 5.800000 132.630000 57.100000 -11.181019 PKS 81.000000 1.333333 64.000000 105.000000 0.410256 2.564103 225285.447647 -0.547588 -0.850606 -0.244571 poor
10-Oct-2017 06:32:20 -18.520000 -69.640000 82.430000 6.300000 166.280000 156.700000 -11.181019 SKKS 120.000000 0.820513 69.000000 156.000000 0.000000 2.769231 107979.555649 0.502248 0.282731 0.721765 poor
23-Sep-2017 12:53:02 16.770000 -94.950000 9.620000 6.100000 141.660000 52.800000 -11.181019 PKS 75.000000 2.051282 57.000000 106.000000 0.410256 4.000000 174453.227448 -0.763156 -1.232132 -0.294180 poor
19-Sep-2017 18:14:38 18.570000 -98.480000 51.000000 7.100000 137.860000 53.300000 -11.181019 PKS 71.000000 2.358974 56.000000 108.000000 0.307692 3.692308 164083.962655 -0.361067 -0.603645 -0.118490 poor
19-Sep-2017 18:14:38 18.570000 -98.480000 51.000000 7.100000 137.860000 53.300000 -11.181019 SKKS 62.000000 2.564103 -Inf Inf 0.000000 Inf 118018.434978 -0.160659 -0.396439 0.075121 average
22-Jun-2017 12:31:04 13.750000 -90.950000 46.820000 6.800000 146.550000 53.300000 -11.181019 SKKS 71.000000 2.358974 -Inf Inf 0.000000 Inf 306507.788654 -0.643606 -1.125579 -0.161634 average
10-May-2017 23:23:37 -56.430000 -25.780000 17.390000 6.500000 121.400000 203.500000 -11.181019 SKS -55.000000 4.000000 -Inf Inf 0.000000 Inf 159066.614781 -0.008448 -0.639337 0.622441 poor
10-May-2017 23:23:37 -56.430000 -25.780000 17.390000 6.500000 121.400000 203.500000 -11.181019 SKKS 63.000000 1.230769 -Inf Inf 0.000000 Inf 211977.918861 -0.755001 -1.260333 -0.249670 average
01-May-2017 12:31:55 59.830000 -136.680000 8.000000 6.200000 93.210000 28.800000 -11.181019 SKS 46.000000 1.230769 35.000000 71.000000 0.410256 2.564103 36728.880855 -0.530980 -0.720474 -0.341486 average
24-Apr-2017 21:38:30 -33.030000 -72.050000 28.000000 6.900000 151.940000 165.300000 -11.181019 SKKS 5.000000 0.512821 -Inf Inf 0.000000 Inf 9437198.581446 -0.330561 -1.020756 0.359634 poor
21-Feb-2017 14:09:04 -19.280000 -63.900000 595.980000 6.500000 166.760000 179.500000 -11.181019 PKIKS -18.000000 2.153846 -Inf Inf 0.000000 Inf 368247.285163 0.065222 -0.192992 0.323437 poor
21-Feb-2017 14:09:04 -19.280000 -63.900000 595.980000 6.500000 166.760000 179.500000 -11.181019 SKKS 71.000000 1.435897 55.000000 81.000000 0.615385 2.564103 76921.146489 -0.424348 -0.623809 -0.224886 good
18-Dec-2016 13:30:11 -9.970000 -70.970000 622.530000 6.400000 171.880000 121.000000 -11.181019 SKKS 52.000000 1.538462 38.000000 -76.000000 0.307692 2.564103 120800.139544 0.478883 0.311605 0.646161 average
30-Oct-2016 06:40:19 42.850000 13.090000 10.000000 6.600000 95.390000 314.100000 -11.181019 SKS 60.000000 1.333333 46.000000 -59.000000 0.102564 3.589744 12301.621055 0.561389 0.342995 0.779782 average
28-Oct-2016 20:02:48 39.310000 13.540000 448.480000 5.800000 95.860000 310.600000 -11.181019 SKS 63.000000 0.717949 48.000000 97.000000 0.205128 1.435897 80518.037473 0.451387 0.322120 0.580655 good
29-Aug-2016 04:29:57 -0.050000 -17.830000 10.000000 7.100000 133.740000 275.800000 -11.181019 PKS 30.000000 1.846154 21.000000 42.000000 1.230769 2.564103 50213.726815 0.737278 0.440896 1.033661 poor
29-Aug-2016 04:29:57 -0.050000 -17.830000 10.000000 7.100000 133.740000 275.800000 -11.181019 SKS 44.000000 2.769231 11.000000 87.000000 0.307692 4.000000 55179.646550 1.135837 0.398110 1.873565 poor
29-Aug-2016 04:29:57 -0.050000 -17.830000 10.000000 7.100000 133.740000 275.800000 -11.181019 SKIKS 35.000000 3.282051 10.000000 80.000000 0.410256 4.000000 58477.317627 0.742270 0.050364 1.434177 poor
04-Aug-2016 14:15:13 -22.310000 -66.030000 270.000000 6.200000 163.590000 172.800000 -11.181019 SKKS 19.000000 1.948718 -7.000000 82.000000 0.000000 4.000000 447258.619658 -0.090146 -0.552555 0.372263 poor
20-Apr-2016 08:33:47 0.640000 -80.210000 14.000000 6.200000 162.290000 67.800000 -11.181019 SKKS 83.000000 2.358974 -Inf Inf 0.000000 Inf 341029.904648 -0.359231 -0.772562 0.054100 average
21-Jan-2016 18:06:57 18.830000 -106.930000 10.000000 6.600000 130.750000 58.600000 -11.181019 PKS 87.000000 1.128205 67.000000 120.000000 0.307692 2.256410 48695.143333 -0.847989 -1.112318 -0.583660 average
26-Nov-2015 05:45:18 -9.180000 -71.260000 602.750000 6.700000 171.960000 114.800000 -11.181019 PKIKS 85.000000 2.974359 46.000000 112.000000 1.743590 4.000000 309569.145303 -0.289458 -0.770048 0.191132 poor
26-Nov-2015 05:45:18 -9.180000 -71.260000 602.750000 6.700000 171.960000 114.800000 -11.181019 SKKS 71.000000 0.717949 51.000000 88.000000 0.410256 1.025641 69358.709895 0.804144 0.688072 0.920215 good
24-Nov-2015 22:50:54 -10.060000 -71.020000 620.560000 7.600000 171.790000 121.400000 -11.181019 SKKS 50.000000 1.435897 33.000000 -67.000000 0.000000 4.000000 148475.711510 0.716234 0.459827 0.972640 good
24-Nov-2015 22:45:38 -10.540000 -70.940000 606.210000 7.600000 171.610000 124.500000 -11.181019 SKKS 58.000000 1.538462 35.000000 -61.000000 0.000000 4.000000 163163.070139 0.639792 0.332309 0.947276 average
24-May-2015 04:53:23 -16.810000 -14.260000 11.700000 6.300000 130.420000 253.000000 -11.181019 PKS 82.000000 3.692308 -Inf Inf 0.000000 Inf 106581.080796 0.407049 0.229394 0.584704 average
19-May-2015 15:25:23 -54.380000 -132.270000 17.800000 6.600000 107.340000 145.400000 -11.181019 SKS 68.000000 1.641026 -Inf Inf 0.000000 Inf 35879.937816 0.361841 0.145020 0.578663 good
24-Apr-2015 13:56:15 51.640000 -130.860000 6.400000 6.200000 99.080000 35.400000 -11.181019 SKS 35.400000 0.000000 0.000000 0.000000 0.000000 0.000000 38517.376165 -0.029256 -0.255938 0.197425 null-measurement
23-Mar-2015 04:51:37 -18.350000 -69.190000 127.100000 6.400000 166.610000 158.000000 -11.181019 SKKS 89.000000 1.333333 74.000000 119.000000 0.410256 2.461538 53345.666105 0.646543 0.402559 0.890527 good
10-Mar-2015 20:55:44 6.800000 -73.040000 162.000000 6.200000 164.180000 35.000000 -11.181019 SKKS 58.000000 1.025641 48.000000 72.000000 0.512821 1.538462 85617.514603 -0.528785 -0.688734 -0.368835 average
14-Oct-2014 03:51:37 12.590000 -88.070000 63.900000 7.300000 149.510000 51.900000 -11.181019 SKKS 76.000000 2.153846 59.000000 99.000000 0.717949 4.000000 264429.834893 -0.971312 -1.421690 -0.520935 average
25-Jul-2014 10:54:49 58.310000 -136.960000 10.000000 6.000000 93.530000 30.300000 -11.181019 SKS 49.000000 1.538462 35.000000 81.000000 0.307692 3.179487 62951.473242 -0.460626 -0.740747 -0.180504 poor
29-Jun-2014 07:52:56 -55.480000 -28.400000 15.100000 6.800000 123.110000 203.100000 -11.181019 SKS 27.000000 4.000000 -Inf Inf 0.000000 Inf 684936.314970 0.026335 -0.445316 0.497985 poor
20-Jun-2014 20:22:27 -19.770000 -70.970000 14.200000 5.800000 164.600000 154.400000 -11.181019 SKIKS 53.000000 4.000000 -Inf Inf 0.000000 Inf 31345.436459 -0.106717 -1.034168 0.820734 poor
10-May-2014 07:36:00 17.060000 -100.930000 23.300000 6.100000 136.630000 57.000000 -11.181019 PKS 94.000000 1.333333 75.000000 115.000000 0.615385 2.153846 246586.853600 -1.286753 -1.714728 -0.858778 poor
08-May-2014 17:00:15 17.150000 -100.810000 24.900000 6.500000 136.680000 56.800000 -11.181019 PKS 83.000000 1.538462 67.000000 103.000000 0.615385 2.461538 120131.035134 -0.807741 -1.226772 -0.388710 poor
24-Apr-2014 03:10:11 49.650000 -127.650000 9.800000 6.600000 101.730000 36.500000 -11.181019 SKS 63.000000 1.128205 47.000000 89.000000 0.512821 2.256410 7587.680587 -0.906471 -1.059807 -0.753135 good
18-Apr-2014 14:27:24 17.320000 -100.990000 24.400000 7.300000 136.450000 56.700000 -11.181019 PKS 78.000000 1.538462 66.000000 99.000000 0.717949 2.666667 33963.685824 -0.893559 -1.115362 -0.671756 good
15-Apr-2014 03:57:01 -53.610000 8.710000 10.000000 6.800000 105.200000 216.000000 -11.181019 SKS 77.000000 1.230769 49.000000 109.000000 0.512821 2.153846 88912.357513 -1.197181 -1.472426 -0.921935 average
03-Apr-2014 02:43:14 -20.590000 -70.490000 12.000000 7.700000 164.070000 157.100000 -11.181019 SKKS -18.000000 4.000000 -Inf Inf 0.000000 Inf 153945.471522 -0.116456 -0.360308 0.127395 poor
01-Apr-2014 23:57:56 -19.960000 -71.020000 10.800000 7.000000 164.410000 154.500000 -11.181019 SKKS 54.000000 4.000000 -Inf Inf 0.000000 Inf 933879.523891 -0.524650 -1.368299 0.319000 poor
01-Apr-2014 23:46:47 -19.620000 -70.790000 17.100000 8.100000 164.810000 154.700000 -11.181019 SKKS 72.000000 2.256410 -Inf Inf 0.000000 Inf 720355.182190 0.242163 -0.546502 1.030828 poor
16-Mar-2014 21:16:28 -19.910000 -70.620000 9.400000 6.700000 164.630000 155.700000 -11.181019 SKKS 25.000000 0.820513 -Inf Inf 0.000000 Inf 160916.747302 -0.565430 -0.872643 -0.258217 poor
10-Mar-2014 05:18:13 40.720000 -125.090000 6.100000 6.900000 107.050000 44.100000 -11.181019 SKS 44.100000 0.000000 0.000000 0.000000 0.000000 0.000000 232071.508914 -0.313371 -0.890659 0.263917 null-measurement
02-Nov-2013 15:52:45 -23.640000 -112.680000 8.500000 6.000000 129.880000 115.900000 -11.181019 PKS 64.000000 0.820513 45.000000 84.000000 0.512821 1.230769 63307.781622 0.835060 0.688531 0.981589 good
30-Jan-2013 20:15:43 -28.110000 -70.890000 46.100000 6.800000 156.930000 164.100000 -11.181019 SKKS 29.000000 0.820513 -Inf Inf 0.000000 Inf 338720.235794 -0.468145 -0.782254 -0.154036 poor
05-Jan-2013 08:58:19 55.230000 -134.800000 3.100000 7.500000 95.620000 32.900000 -11.181019 SKS 51.000000 1.025641 -Inf Inf 0.000000 Inf 75016.553369 -0.545828 -0.763999 -0.327657 average
28-Oct-2012 03:04:07 52.680000 -132.170000 7.400000 7.800000 97.950000 34.700000 -11.181019 SKS 34.700000 0.000000 0.000000 0.000000 0.000000 0.000000 1018075.950252 0.777612 0.183850 1.371374 null-measurement
28-May-2012 05:07:23 -28.020000 -63.110000 591.100000 6.700000 158.010000 181.600000 -11.181019 SKKS 60.000000 1.333333 20.000000 83.000000 0.307692 2.974359 11568.324009 -1.136334 -1.434730 -0.837937 good
17-Apr-2012 19:03:57 -59.190000 -16.810000 13.600000 6.200000 115.970000 204.600000 -11.181019 SKS 62.000000 0.820513 26.000000 109.000000 0.000000 4.000000 216939.966511 -0.578257 -0.816056 -0.340458 poor
14-Apr-2012 10:56:18 -57.580000 -65.370000 8.400000 6.200000 128.450000 178.900000 -11.181019 SKS 81.000000 2.871795 -Inf Inf 0.000000 Inf 247460.632468 -0.047827 -0.330444 0.234789 poor
